Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
2129,11,Directed,2483,,,1,Twitter for iPhone,None,es,2017-03-01
2130,61,Directed,2484,,,1,Twitter for Android,None,es,2020-01-11
2131,8,Directed,2485,,,1,Twitter for Android,None,es,2016-12-08
2132,14,Directed,2486,,,1,Twitter Web App,None,es,2010-02-16
2133,2,Directed,2487,,,1,Twitter for Android,None,es,2021-02-26
2134,0,Directed,2488,,,1,Twitter for Android,None,es,2017-09-26
2135,2454,Directed,2489,,,1,Twitter for Android,QuéPasa,es,2015-03-13
2136,17,Directed,2490,,,1,Twitter for Android,None,es,2016-04-13
2137,12,Directed,2491,,,1,Twitter for Android,None,es,2017-02-06
2138,0,Directed,2492,,,1,Twitter for iPhone,None,es,2014-10-16
2139,52,Directed,2493,,,1,Twitter Web App,Ayuso,es,2019-07-25
2140,3,Directed,2494,,,1,Twitter for Android,None,es,2019-07-11
2141,1,Directed,2495,,,1,Twitter for iPhone,None,es,2010-02-27
2142,23,Directed,2496,,,1,Twitter for Android,None,es,2019-03-25
2143,3,Directed,2497,,,1,Twitter for iPhone,None,es,2021-01-02
2144,2,Directed,2498,,,1,Twitter for iPhone,None,es,2015-08-21
2145,40,Directed,2499,,,1,Twitter for Android,None,es,2012-05-04
2146,14,Directed,2500,,,1,Twitter for Android,None,es,2021-01-05
2147,4,Directed,2501,,,1,Twitter for Android,None,es,2020-04-16
2148,12,Directed,2502,,,1,Twitter Web App,None,es,2008-12-31
2149,39,Directed,2503,,,1,Twitter for iPhone,None,es,2012-01-20
2150,0,Directed,2504,,,1,Twitter for iPhone,None,es,2012-10-25
2151,75,Directed,2505,,,1,Twitter for Android,None,es,2014-07-12
2152,4,Directed,2506,,,1,Twitter for iPhone,None,es,2017-06-16
2153,8,Directed,2507,,,1,Twitter for Android,None,es,2015-10-16
2154,0,Directed,2508,,,1,Twitter for Android,None,es,2017-08-23
2155,77,Directed,2509,,,1,Twitter Web App,CulturaDeLaViolación,es,2020-11-08
2156,40,Directed,2510,,,1,Twitter for Android,None,es,2014-09-10
2157,46,Directed,2511,,,1,Twitter for Android,None,es,2011-01-30
2158,1,Directed,2512,,,1,Twitter for Android,None,es,2013-06-21
2159,44,Directed,2513,,,1,Twitter for Android,None,es,2020-12-26
2160,8,Directed,2514,,,1,Twitter for Android,None,es,2013-04-26
2161,4,Directed,2515,,,1,Twitter for Android,None,es,2011-07-13
2162,13,Directed,2516,,,1,Twitter for Android,None,es,2016-09-04
2164,9,Directed,2517,,,1,Twitter for Android,None,es,2021-06-10
2165,13,Directed,2518,,,1,Twitter for Android,None,es,2012-09-11
2166,74,Directed,2519,,,1,Twitter for Android,None,es,2021-03-05
2167,14,Directed,2520,,,1,Twitter for iPhone,None,es,2018-06-04
2168,12,Directed,2521,,,1,Twitter Web App,None,es,2010-08-19
2169,57,Directed,2522,,,1,Twitter for Android,None,es,2020-04-15
2170,25,Directed,2523,,,1,Twitter for Android,None,es,2014-10-30
2171,1,Directed,2524,,,1,Twitter for Android,None,es,2017-01-21
2172,1,Directed,2525,,,1,Twitter for Android,None,es,2015-07-18
2173,94,Directed,2526,,,1,Twitter Web App,None,es,2020-04-15
2174,0,Directed,2527,,,1,Twitter for iPhone,None,es,2018-05-27
2175,0,Directed,2528,,,1,Twitter for Android,None,es,2012-02-21
2176,20,Directed,2529,,,1,Twitter for iPhone,None,es,2011-10-13
2177,2,Directed,2530,,,1,Twitter for Android,None,es,2020-04-10
2178,18,Directed,2531,,,1,Twitter for Android,None,es,2010-11-22
2179,4,Directed,2532,,,1,Twitter for Android,None,es,2011-05-15
2180,0,Directed,2533,,,1,Twitter for Android,None,es,2015-04-13
2181,5,Directed,2534,,,1,Twitter Web App,None,es,2012-04-29
2182,1,Directed,2535,,,1,Twitter for Android,None,es,2020-04-11
2183,19,Directed,2536,,,1,Twitter for Android,None,es,2009-09-27
2184,2,Directed,2537,,,1,Twitter Web App,None,es,2011-02-28
2185,7,Directed,2538,,,1,Twitter for Android,None,es,2013-12-02
2187,59,Directed,2539,,,1,Twitter Web App,None,es,2011-05-05
2188,2,Directed,2540,,,1,Twitter for Android,None,es,2019-08-20
2189,0,Directed,2541,,,1,Twitter for iPhone,None,es,2019-03-07
2190,11,Directed,2542,,,1,Twitter for Android,None,es,2021-02-18
2191,2,Directed,2543,,,1,Twitter for Android,None,es,2015-01-25
2192,11,Directed,2544,,,1,Twitter for Android,None,es,2011-09-20
2193,38,Directed,2545,,,1,Twitter Web App,None,es,2020-04-04
2194,42,Directed,2546,,,1,Twitter for Android,None,es,2010-05-09
2195,161,Directed,2547,,,1,Twitter for Android,None,ca,2009-09-08
2196,5,Directed,2548,,,1,Twitter for Android,None,es,2016-07-21
2197,15,Directed,2549,,,1,Twitter for Android,None,es,2018-10-15
2198,3,Directed,2550,,,1,Twitter for Android,None,es,2010-02-07
2199,2,Directed,2551,,,1,Twitter for iPhone,None,es,2020-05-17
2201,1,Directed,2552,,,1,Twitter for Android,None,es,2013-01-23
2202,1,Directed,2553,,,1,Twitter Web App,None,es,2013-03-13
2203,63,Directed,2554,,,1,Twitter for Android,ENBlau,ca,2015-01-01
2205,11,Directed,2555,,,1,Twitter for Android,None,es,2011-09-26
2206,9,Directed,2556,,,1,Twitter for Android,None,es,2011-04-07
2207,1,Directed,2557,,,1,Twitter Web App,None,es,2019-06-29
2208,5,Directed,2558,,,1,Twitter for iPhone,None,es,2009-03-10
2209,116,Directed,2559,,,1,Twitter for Android,None,es,2017-03-03
2210,152,Directed,2560,,,1,Twitter for Android,None,es,2009-08-11
2211,10,Directed,2561,,,1,Twitter for Android,None,es,2013-07-14
2212,47,Directed,2562,,,1,Twitter for iPhone,None,es,2012-08-16
2214,5,Directed,2563,,,1,Twitter for Android,None,es,2009-07-10
2215,3,Directed,2564,,,1,Twitter for Android,None,es,2018-09-20
2216,39,Directed,2565,,,1,Twitter for Android,None,es,2015-06-14
2217,5,Directed,2566,,,1,Twitter for Android,None,es,2011-10-10
2218,0,Directed,2567,,,1,Twitter for iPhone,None,es,2018-11-03
2219,33,Directed,2568,,,1,Twitter for Android,None,es,2011-11-20
2220,7,Directed,2569,,,1,Twitter for Android,None,es,2017-10-11
2221,6,Directed,2570,,,1,Twitter for Android,None,es,2011-02-10
2222,8,Directed,2571,,,1,Twitter Web App,None,es,2014-04-13
2223,1,Directed,2572,,,1,Twitter for Android,None,es,2012-12-09
2224,2410,Directed,2573,,,1,Twitter for Android,HartoDePijipis,es,2011-05-28
2225,63,Directed,2574,,,1,Twitter for Android,ENBlau,ca,2014-05-23
2226,96,Directed,2575,,,1,Twitter for iPhone,None,es,2012-01-11
2227,7,Directed,2576,,,1,Twitter Web App,None,es,2011-06-16
2228,7,Directed,2577,,,1,Twitter for Android,None,es,2015-01-12
2229,1,Directed,2578,,,1,Twitter for iPhone,None,es,2017-04-10
2230,15,Directed,2579,,,1,Twitter for Android,None,es,2015-11-28
2231,1,Directed,2580,,,1,Twitter for Android,None,es,2012-04-01
2232,0,Directed,2581,,,1,Twitter for iPhone,None,es,2017-01-05
2233,53,Directed,2582,,,1,Twitter for Android,None,es,2019-04-11
2234,15,Directed,2583,,,1,Twitter for Android,None,es,2013-06-16
2235,5,Directed,2584,,,1,Twitter for iPhone,None,es,2011-05-09
2236,27,Directed,2585,,,1,Twitter Web App,None,es,2010-05-14
2237,159,Directed,2586,,,1,Twitter for iPhone,None,es,2011-09-18
2238,109,Directed,2587,,,1,Twitter for Android,None,es,2010-04-03
2239,60,Directed,2588,,,1,Twitter for iPad,None,es,2014-12-24
2240,2,Directed,2589,,,1,Twitter for iPhone,None,es,2014-06-05
2242,77,Directed,2590,,,1,Twitter for iPhone,CulturaDeLaViolación,es,2016-12-16
2243,0,Directed,2591,,,1,Twitter for iPhone,None,es,2011-03-10
2244,65,Directed,2592,,,1,Twitter for Android,None,es,2021-06-03
2245,18,Directed,2593,,,1,Twitter for Android,None,es,2020-10-30
2246,80,Directed,2594,,,1,Twitter for Android,None,es,2012-02-10
2247,78,Directed,2595,,,1,Twitter for Android,None,es,2012-10-13
2248,34,Directed,2596,,,1,Twitter for Android,None,es,2017-09-17
2249,12,Directed,2597,,,1,Twitter for Android,None,es,2020-07-04
2250,5,Directed,2598,,,1,Twitter for iPhone,None,es,2016-01-09
2251,27,Directed,2599,,,1,Twitter for iPhone,None,es,2011-06-05
2252,4,Directed,2600,,,1,Twitter for iPhone,None,es,2017-12-25
2253,8,Directed,2601,,,1,Twitter for iPhone,None,es,2014-11-26
2254,24,Directed,2602,,,1,Twitter for Android,None,es,2010-08-27
2255,4,Directed,2603,,,1,Twitter for Android,None,es,2012-04-08
2257,140,Directed,2604,,,1,Twitter for Android,None,es,2014-06-15
2258,2638,Directed,2605,,,1,Twitter for Android,None,es,2018-06-30
2259,9,Directed,2606,,,1,Twitter for Android,None,es,2021-01-03
2261,50,Directed,2607,,,1,Twitter for Android,None,es,2011-06-24
2262,1,Directed,2608,,,1,Twitter for Android,None,es,2010-10-25
2263,161,Directed,2609,,,1,Twitter for Android,None,ca,2019-11-17
2264,0,Directed,2610,,,1,Twitter for iPhone,None,es,2009-04-19
2265,7,Directed,2611,,,1,Twitter for Android,None,es,2011-01-13
2266,0,Directed,2612,,,1,Twitter for Android,None,es,2012-01-02
2267,3,Directed,2613,,,1,Twitter for Android,None,es,2021-05-05
2268,4,Directed,2614,,,1,Twitter for Android,None,es,2013-05-26
2269,10,Directed,2615,,,1,Twitter for Android,None,es,2018-05-24
2270,55,Directed,2616,,,1,Twitter for Android,None,es,2021-02-22
2271,0,Directed,2617,,,1,Twitter for Android,None,es,2019-01-09
2272,21,Directed,2618,,,1,Twitter Web App,None,es,2017-02-16
2273,0,Directed,2619,,,1,Twitter Web App,None,es,2012-07-31
2274,2075,Directed,2620,,,1,Twitter Web App,None,es,2009-11-11
2275,36,Directed,2621,,,1,Twitter for iPad,None,es,2012-04-06
2276,293,Directed,2622,,,1,Twitter Web App,None,es,2011-02-15
2277,0,Directed,2623,,,1,Twitter for iPhone,None,es,2017-01-20
2279,6,Directed,2624,,,1,Twitter for Android,None,es,2012-08-04
2280,4,Directed,2625,,,1,Twitter for Android,None,es,2012-07-29
2281,5,Directed,2626,,,1,Twitter for Android,None,es,2016-03-18
2282,17,Directed,2627,,,1,Twitter for Android,None,es,2010-04-14
2283,0,Directed,2628,,,1,Twitter Web App,None,es,2009-02-25
2284,0,Directed,2629,,,1,Twitter for Android,None,es,2015-07-22
2285,2,Directed,2630,,,1,Twitter for iPhone,None,es,2012-09-16
2286,61,Directed,2631,,,1,Twitter Web App,None,es,2019-04-24
2287,2,Directed,2632,,,1,Twitter for Android,None,es,2012-03-15
2288,5,Directed,2633,,,1,Twitter for Android,None,es,2014-01-03
2289,6,Directed,2634,,,1,Twitter for iPhone,None,es,2010-12-10
2290,18,Directed,2635,,,1,Twitter for Android,None,es,2011-09-19
2291,10,Directed,2636,,,1,Twitter for Android,None,es,2015-02-12
2292,0,Directed,2637,,,1,Twitter for iPhone,None,es,2011-09-21
2293,2,Directed,2638,,,1,Twitter Web App,None,es,2012-01-14
2294,114,Directed,2639,,,1,Twitter Web App,None,es,2007-04-02
